Sat Sep 30 04:57:13 2023||0.789 0.286 0.560 -0.954 -0.198 0.109
Sat Sep 30 04:57:13 2023||0.785 0.268 0.540 -0.966 -0.192 0.124
Sat Sep 30 04:57:13 2023||0.780 0.266 0.527 -0.955 -0.190 0.130
Sat Sep 30 04:57:13 2023||0.797 0.275 0.537 -0.957 -0.206 0.114
Sat Sep 30 04:57:13 2023||0.795 0.263 0.549 -0.953 -0.198 0.100
Sat Sep 30 04:57:13 2023||0.795 0.280 0.544 -0.951 -0.197 0.108
Sat Sep 30 04:57:13 2023||0.776 0.275 0.557 -0.943 -0.198 0.133
Sat Sep 30 04:57:14 2023||0.776 0.276 0.561 -0.959 -0.200 0.144
Sat Sep 30 04:57:14 2023||0.787 0.297 0.584 -0.955 -0.192 0.167
Sat Sep 30 04:57:14 2023||0.766 0.251 0.588 -0.973 -0.200 0.176
Sat Sep 30 04:57:14 2023||0.777 0.282 0.607 -0.959 -0.211 0.165
Sat Sep 30 04:57:14 2023||0.756 0.255 0.562 -0.953 -0.185 0.139
Sat Sep 30 04:57:14 2023||0.785 0.282 0.603 -0.939 -0.179 0.154
Sat Sep 30 04:57:14 2023||0.757 0.260 0.582 -0.955 -0.177 0.156
Sat Sep 30 04:57:14 2023||0.784 0.259 0.598 -0.971 -0.209 0.181
Sat Sep 30 04:57:14 2023||0.765 0.278 0.603 -0.968 -0.199 0.187
Sat Sep 30 04:57:14 2023||0.767 0.297 0.574 -0.968 -0.200 0.182
Sat Sep 30 04:57:14 2023||0.784 0.304 0.587 -0.955 -0.190 0.158
Sat Sep 30 04:57:14 2023||0.764 0.276 0.572 -0.953 -0.194 0.169
Sat Sep 30 04:57:15 2023||0.757 0.268 0.552 -0.953 -0.186 0.169
Sat Sep 30 04:57:15 2023||0.769 0.279 0.579 -0.959 -0.189 0.166
Sat Sep 30 04:57:15 2023||0.771 0.277 0.563 -0.967 -0.193 0.171
Sat Sep 30 04:57:15 2023||0.782 0.287 0.603 -0.960 -0.207 0.151
Sat Sep 30 04:57:15 2023||0.770 0.283 0.568 -0.949 -0.199 0.141
Sat Sep 30 04:57:15 2023||0.770 0.295 0.558 -0.949 -0.197 0.146
Sat Sep 30 04:57:15 2023||0.775 0.300 0.559 -0.957 -0.195 0.149
Sat Sep 30 04:57:15 2023||0.768 0.283 0.568 -0.956 -0.196 0.163
Sat Sep 30 04:57:15 2023||0.773 0.276 0.586 -0.970 -0.205 0.138
Sat Sep 30 04:57:15 2023||0.786 0.280 0.564 -0.962 -0.204 0.113
Sat Sep 30 04:57:15 2023||0.783 0.273 0.540 -0.956 -0.198 0.104
Sat Sep 30 04:57:15 2023||0.780 0.275 0.554 -0.940 -0.194 0.103
Sat Sep 30 04:57:16 2023||0.783 0.271 0.552 -0.958 -0.200 0.110
Sat Sep 30 04:57:16 2023||0.769 0.266 0.535 -0.951 -0.202 0.113
Sat Sep 30 04:57:16 2023||0.783 0.284 0.539 -0.956 -0.198 0.129
Sat Sep 30 04:57:16 2023||0.779 0.283 0.567 -0.953 -0.207 0.144
Sat Sep 30 04:57:16 2023||0.765 0.273 0.563 -0.967 -0.205 0.142
Sat Sep 30 04:57:16 2023||0.779 0.298 0.587 -0.967 -0.197 0.146
Sat Sep 30 04:57:16 2023||0.778 0.272 0.588 -0.959 -0.192 0.144
Sat Sep 30 04:57:16 2023||0.768 0.254 0.541 -0.945 -0.168 0.122
Sat Sep 30 04:57:16 2023||0.772 0.231 0.493 -0.948 -0.211 0.063
Sat Sep 30 04:57:16 2023||0.751 0.303 0.573 -0.921 -0.193 0.162
Sat Sep 30 04:57:16 2023||0.793 0.320 0.632 -1.017 -0.245 0.263
Sat Sep 30 04:57:16 2023||0.847 0.439 0.736 -1.021 -0.180 0.281
Sat Sep 30 04:57:17 2023||0.829 0.363 0.624 -1.008 -0.118 0.251
Sat Sep 30 04:57:17 2023||0.707 0.220 0.604 -0.957 -0.142 0.186
Sat Sep 30 04:57:17 2023||0.742 0.201 0.615 -0.937 -0.186 0.123
